Location,What,Value,Unit
GPU[1].SA[0].CU[0],CPIStack.Idle,0.0158590308370024,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.LDS,0.570925110132162,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarInst,0.167400881057267,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMem,0.107929515418502,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMemInst,0.0026431718061676,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Special,0.0436123348017633,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VALU,4.11894273127753,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMem,1.51101321585903,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMemInst,0.162555066079294,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.total,7.22775330396476,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Branch,0.0320855614973259,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Fetch,0.606951871657756,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Idle,0.0192513368983933,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.LDS,0.69304812834225,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarInst,0.203208556149731,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMem,0.131016042780748,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMemInst,0.00320855614973286,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Special,0.0529411764705897,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMem,1.83422459893048,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMemInst,0.197326203208555,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.total,8.77379679144385,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Branch,0.0264317180616741,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Fetch,0.498237885462558,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Idle,0.0158590308370013,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.LDS,0.570925110132162,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarInst,0.167400881057267,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMem,0.107929515418502,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMemInst,0.0026431718061676,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Special,0.0436123348017633,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VALU,4.11894273127753,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMem,1.51277533039648,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMemInst,0.162555066079294,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.total,7.22775330396476,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Branch,0.0320855614973263,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Fetch,0.604812834224602,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Idle,0.019251336898392,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.LDS,0.69304812834225,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarInst,0.203208556149731,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMem,0.131016042780748,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMemInst,0.00320855614973286,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Special,0.0529411764705897,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMem,1.83636363636364,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMemInst,0.197326203208555,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.total,8.77379679144385,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Branch,0.0264317180616741,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Fetch,0.500881057268724,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Idle,0.0158590308370017,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.LDS,0.57092511013216,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarInst,0.167400881057268,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMem,0.107929515418502,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMemInst,0.0026431718061676,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Special,0.0436123348017648,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VALU,4.11894273127753,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMem,1.51013215859031,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMemInst,0.162555066079294,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.total,7.22775330396476,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Branch,0.0320855614973263,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Fetch,0.608021390374334,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Idle,0.0192513368983924,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.LDS,0.693048128342248,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarInst,0.203208556149732,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMem,0.131016042780748,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMemInst,0.00320855614973286,cycles/inst
