Component,Port,Connection
GPU[1].SA[0].L1VTLB[3],GPU[1].SA[0].L1VTLB[3].Bottom,GPU[1].L1TLBToL2TLB
GPU[1].SA[0].L1VTLB[3],GPU[1].SA[0].L1VTLB[3].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VAddrTrans[0],GPU[1].SA[0].L1VAddrTrans[0].Top,GPU[1].SA[0].Conn[1]
GPU[1].SA[0].L1VAddrTrans[0],GPU[1].SA[0].L1VAddrTrans[0].Bottom,GPU[1].SA[0].Conn[3]
GPU[1].SA[0].L1VAddrTrans[0],GPU[1].SA[0].L1VAddrTrans[0].Translation,GPU[1].SA[0].Conn[2]
GPU[1].SA[0].L1VAddrTrans[0],GPU[1].SA[0].L1VAddrTrans[0].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VAddrTrans[1],GPU[1].SA[0].L1VAddrTrans[1].Top,GPU[1].SA[0].Conn[5]
GPU[1].SA[0].L1VAddrTrans[1],GPU[1].SA[0].L1VAddrTrans[1].Bottom,GPU[1].SA[0].Conn[7]
GPU[1].SA[0].L1VAddrTrans[1],GPU[1].SA[0].L1VAddrTrans[1].Translation,GPU[1].SA[0].Conn[6]
GPU[1].SA[0].L1VAddrTrans[1],GPU[1].SA[0].L1VAddrTrans[1].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VAddrTrans[2],GPU[1].SA[0].L1VAddrTrans[2].Top,GPU[1].SA[0].Conn[9]
GPU[1].SA[0].L1VAddrTrans[2],GPU[1].SA[0].L1VAddrTrans[2].Bottom,GPU[1].SA[0].Conn[11]
GPU[1].SA[0].L1VAddrTrans[2],GPU[1].SA[0].L1VAddrTrans[2].Translation,GPU[1].SA[0].Conn[10]
GPU[1].SA[0].L1VAddrTrans[2],GPU[1].SA[0].L1VAddrTrans[2].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VAddrTrans[3],GPU[1].SA[0].L1VAddrTrans[3].Top,GPU[1].SA[0].Conn[13]
GPU[1].SA[0].L1VAddrTrans[3],GPU[1].SA[0].L1VAddrTrans[3].Bottom,GPU[1].SA[0].Conn[15]
GPU[1].SA[0].L1VAddrTrans[3],GPU[1].SA[0].L1VAddrTrans[3].Translation,GPU[1].SA[0].Conn[14]
GPU[1].SA[0].L1VAddrTrans[3],GPU[1].SA[0].L1VAddrTrans[3].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VROB[0],GPU[1].SA[0].L1VROB[0].Top,GPU[1].SA[0].Conn[0]
GPU[1].SA[0].L1VROB[0],GPU[1].SA[0].L1VROB[0].Bottom,GPU[1].SA[0].Conn[1]
GPU[1].SA[0].L1VROB[0],GPU[1].SA[0].L1VROB[0].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VROB[1],GPU[1].SA[0].L1VROB[1].Top,GPU[1].SA[0].Conn[4]
GPU[1].SA[0].L1VROB[1],GPU[1].SA[0].L1VROB[1].Bottom,GPU[1].SA[0].Conn[5]
GPU[1].SA[0].L1VROB[1],GPU[1].SA[0].L1VROB[1].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VROB[2],GPU[1].SA[0].L1VROB[2].Top,GPU[1].SA[0].Conn[8]
GPU[1].SA[0].L1VROB[2],GPU[1].SA[0].L1VROB[2].Bottom,GPU[1].SA[0].Conn[9]
GPU[1].SA[0].L1VROB[2],GPU[1].SA[0].L1VROB[2].Control,GPU[1].InternalConn
GPU[1].SA[0].L1VROB[3],GPU[1].SA[0].L1VROB[3].Top,GPU[1].SA[0].Conn[12]
GPU[1].SA[0].L1VROB[3],GPU[1].SA[0].L1VROB[3].Bottom,GPU[1].SA[0].Conn[13]
GPU[1].SA[0].L1VROB[3],GPU[1].SA[0].L1VROB[3].Control,GPU[1].InternalConn
GPU[1].SA[0].L1SCache,GPU[1].SA[0].L1SCache.Top,GPU[1].SA[0].Conn[18]
GPU[1].SA[0].L1SCache,GPU[1].SA[0].L1SCache.Bottom,GPU[1].L1ToL2
GPU[1].SA[0].L1SCache,GPU[1].SA[0].L1SCache.Control,GPU[1].InternalConn
GPU[1].SA[0].L1STLB,GPU[1].SA[0].L1STLB.Top,GPU[1].SA[0].Conn[17]
GPU[1].SA[0].L1STLB,GPU[1].SA[0].L1STLB.Bottom,GPU[1].L1TLBToL2TLB
